"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)"
"13","nm0000338","Wed Dec  1 07:16:24 2010","Wed Dec  1 07:16:24 2010","","Francis Ford Coppola","Producer, <a href=""http://www.imdb.com/title/tt0071562/"">The Godfather: Part II</a>","1939-04-07"

"14","nm0000399","Wed Dec  1 07:16:42 2010","Wed Dec  1 07:16:42 2010","","David Fincher","Director, <a href=""http://www.imdb.com/title/tt0137523/"">Fight Club</a>","1962-08-28"

"15","nm0001120","Wed Dec  1 07:17:08 2010","Mon Dec  6 09:42:37 2010","","Vittorio De Sica","Director, <a href=""http://www.imdb.com/title/tt0040522/"">Ladri di biciclette</a>","1901-07-07"

"16","nm0001466","Wed Dec  1 07:17:26 2010","Mon Dec  6 09:41:51 2010","","Sergio Leone","Writer, <a href=""http://www.imdb.com/title/tt0060196/"">Il buono, il brutto, il cattivo</a>","1929-01-03"

"17","nm0000019","Wed Dec  1 07:17:45 2010","Wed Dec  1 07:17:45 2010","","Federico Fellini","Writer, <a href=""http://www.imdb.com/title/tt0056801/"">8½</a>","1920-01-20"

"18","nm0000005","Wed Dec  1 07:18:06 2010","Mon Dec  6 09:43:00 2010","","Ingmar Bergman","Writer, <a href=""http://www.imdb.com/title/tt0050976/"">Det sjunde inseglet</a>","1918-07-14"

"19","nm0001415","Wed Dec  1 07:18:34 2010","Mon Dec  6 09:42:11 2010","","Elia Kazan","Director, <a href=""http://www.imdb.com/title/tt0047296/"">On the Waterfront</a>","1909-09-07"

"20","nm0001379","Wed Dec  1 07:18:47 2010","Wed Dec  1 07:18:47 2010","","John Huston","Director, <a href=""http://www.imdb.com/title/tt0033870/"">The Maltese Falcon</a>","1906-08-05"

"21","nm0000766","Wed Dec  1 07:19:42 2010","Mon Dec  6 09:42:19 2010","","Theodoros Angelopoulos","Director, <a href=""http://www.imdb.com/title/tt0096288/"">Topio stin omichli</a>","1935-04-27"

"22","nm0000041","Wed Dec  1 07:20:04 2010","Wed Dec  1 07:20:04 2010","","Akira Kurosawa","Writer, <a href=""http://www.imdb.com/title/tt0055630/"">Yôjinbô</a>","1910-03-23"

"23","nm0939182","Wed Dec  1 07:20:16 2010","Mon Dec  6 09:43:27 2010","","Kar Wai Wong","Writer, <a href=""http://www.imdb.com/title/tt0118694/"">Fa yeung nin wa</a>","1956-07-17"

"24","nm0955443","Wed Dec  1 07:20:33 2010","Wed Dec  1 07:20:33 2010","","Yimou Zhang","Director, <a href=""http://www.imdb.com/title/tt0299977/"">Ying xiong</a>","1951-11-14"

"25","nm0594503","Wed Dec  1 07:20:59 2010","Wed Dec  1 07:20:59 2010","","Hayao Miyazaki","Director, <a href=""http://www.imdb.com/title/tt0245429/"">Sen to Chihiro no kamikakushi</a>","1941-01-05"

"26","nm0155280","Wed Dec  1 07:22:59 2010","Mon Dec  6 09:42:34 2010","","Kaige Chen","Director, <a href=""http://www.imdb.com/title/tt0332639/"">He ni zai yi qi</a>","1952-08-12"

"27","nm0578483","Wed Mar 30 16:51:09 2011","Wed Mar 30 16:51:09 2011","","Jean-Pierre Melville","Writer, <a href=""http://www.imdb.com/title/tt0062229/"">Le samouraï</a>","1917-10-20"

"28","nm0201094","Wed Dec  1 07:23:41 2010","Mon Dec  6 09:41:54 2010","","Jean-Pierre Dardenne","Producer, <a href=""http://www.imdb.com/title/tt2737050/"">Deux jours, une nuit</a>","1951-04-21"

"29","nm0000466","Wed Dec  1 07:23:53 2010","Wed Dec  1 07:23:53 2010","","Jean-Pierre Jeunet","Director, <a href=""http://www.imdb.com/title/tt0211915/"">Le fabuleux destin d'Amélie Poulain</a>","1953-09-03"

"30","nm0000419","Wed Dec  1 07:24:11 2010","Mon Dec  6 09:42:59 2010","","Jean-Luc Godard","Director, <a href=""http://www.imdb.com/title/tt0056663/"">Vivre sa vie: Film en douze tableaux</a>","1930-12-03"

"31","nm0000122","Wed Dec  1 07:25:04 2010","Mon Dec  6 09:42:07 2010","","Charles Chaplin","Writer, <a href=""http://www.imdb.com/title/tt0027977/"">Modern Times</a>","1889-04-16"

"32","nm0000036","Wed Nov 16 03:26:38 2011","Wed Nov 16 03:26:38 2011","","Buster Keaton","Actor, <a href=""http://www.imdb.com/title/tt0017925/"">The General</a>","1895-10-04"

"33","nm0001789","Wed Dec  1 07:26:00 2010","Wed Dec  1 07:26:00 2010","","Andrei Tarkovsky","Writer, <a href=""http://www.imdb.com/title/tt0069293/"">Solyaris</a>","1932-04-04"

"34","nm0001603","Wed Dec  1 07:26:14 2010","Mon Dec  6 09:43:11 2010","","Sam Peckinpah","Writer, <a href=""http://www.imdb.com/title/tt0065214/"">The Wild Bunch</a>","1925-02-21"

"35","nm0000116","Wed Dec  1 07:26:31 2010","Mon Dec  6 09:42:19 2010","","James Cameron","Writer, <a href=""http://www.imdb.com/title/tt0090605/"">Aliens</a>","1954-08-16"

"36","nm0005237","Wed Dec  1 07:26:48 2010","Wed Dec  1 07:26:48 2010","","Anthony Minghella","Writer, <a href=""http://www.imdb.com/title/tt0116209/"">The English Patient</a>","1954-01-06"

"37","nm0001008","Wed Dec  1 07:26:57 2010","Mon Dec  6 09:43:14 2010","","Frank Capra","Director, <a href=""http://www.imdb.com/title/tt0038650/"">It's a Wonderful Life</a>","1897-05-18"

"38","nm0000080","Wed Dec  1 07:27:18 2010","Mon Dec  6 09:42:29 2010","","Orson Welles","Actor, <a href=""http://www.imdb.com/title/tt0033467/"">Citizen Kane</a>","1915-05-06"

"39","nm0000318","Wed Dec  1 07:27:31 2010","Wed Dec  1 07:27:31 2010","","Tim Burton","Producer, <a href=""http://www.imdb.com/title/tt0099487/"">Edward Scissorhands</a>","1958-08-25"

"40","nm0000464","Wed Dec  1 07:27:39 2010","Mon Dec  6 09:41:44 2010","","Jim Jarmusch","Director, <a href=""http://www.imdb.com/title/tt0165798/"">Ghost Dog: The Way of the Samurai</a>","1953-01-22"

"41","nm0000591","Wed Dec  1 07:28:48 2010","Wed Dec  1 07:28:48 2010","","Roman Polanski","Director, <a href=""http://www.imdb.com/title/tt0253474/"">The Pianist</a>","1933-08-18"

"42","nm0000934","Wed Dec  1 07:29:50 2010","Mon Dec  6 09:43:09 2010","","Bernardo Bertolucci","Writer, <a href=""http://www.imdb.com/title/tt0070849/"">Ultimo tango a Parigi</a>","1941-03-16"

"43","nm0001425","Wed Dec  1 07:30:11 2010","Mon Dec  6 09:42:07 2010","","Krzysztof Kieslowski","Writer, <a href=""http://www.imdb.com/title/tt0111495/"">Trois couleurs: Rouge</a>","1941-06-27"

"44","nm0005222","Wed Dec  1 07:30:47 2010","Wed Dec  1 07:30:47 2010","","Sam Mendes","Director, <a href=""http://www.imdb.com/title/tt0169547/"">American Beauty</a>","1965-08-01"

"45","nm0000520","Wed Dec  1 07:32:44 2010","Mon Dec  6 09:43:09 2010","","Michael Mann","Producer, <a href=""http://www.imdb.com/title/tt0113277/"">Heat</a>","1943-02-05"

"46","nm0000165","Wed Dec  1 07:32:55 2010","Mon Dec  6 09:42:19 2010","","Ron Howard","Actor, <a href=""http://www.imdb.com/title/tt0069704/"">American Graffiti</a>","1954-03-01"

"47","nm0001814","Wed Dec  1 07:33:09 2010","Wed Dec  1 07:33:09 2010","","Gus Van Sant","Director, <a href=""http://www.imdb.com/title/tt0119217/"">Good Will Hunting</a>","1952-07-24"

"48","nm0000759","Wed Dec  1 07:33:35 2010","Mon Dec  6 09:43:14 2010","","Paul Thomas Anderson","Director, <a href=""http://www.imdb.com/title/tt0469494/"">There Will Be Blood</a>","1970-06-26"

"49","nm0027572","Wed Dec  1 07:35:28 2010","Mon Dec  6 09:43:12 2010","","Wes Anderson","Director, <a href=""http://www.imdb.com/title/tt2278388/"">The Grand Budapest Hotel</a>","1969-05-01"

"50","nm0001104","Wed Dec  1 07:36:03 2010","Mon Dec  6 09:42:03 2010","","Frank Darabont","Writer, <a href=""http://www.imdb.com/title/tt0111161/"">The Shawshank Redemption</a>","1959-01-28"

"51","nm0000229","Wed Dec  1 07:37:16 2010","Wed Dec  1 07:37:16 2010","","Steven Spielberg","Producer, <a href=""http://www.imdb.com/title/tt0120815/"">Saving Private Ryan</a>","1946-12-18"

"52","nm0000095","Wed Dec  1 07:39:02 2010","Mon Dec  6 09:43:07 2010","","Woody Allen","Writer, <a href=""http://www.imdb.com/title/tt1605783/"">Midnight in Paris</a>","1935-12-01"

"53","nm0000233","Wed Dec  1 07:39:11 2010","Wed Dec  1 07:39:11 2010","","Quentin Tarantino","Writer, <a href=""http://www.imdb.com/title/tt0110912/"">Pulp Fiction</a>","1963-03-27"

"54","nm0001675","Wed Dec  1 07:39:22 2010","Mon Dec  6 09:42:27 2010","","Robert Rodriguez","Producer, <a href=""http://www.imdb.com/title/tt0462322/"">Grindhouse</a>","1968-06-20"

"55","nm0000264","Wed Dec  1 07:39:41 2010","Wed Dec  1 07:39:41 2010","","Pedro Almodóvar","Writer, <a href=""http://www.imdb.com/title/tt0287467/"">Hable con ella</a>","1949-09-25"

"56","nm0327944","Wed Dec  1 07:40:01 2010","Mon Dec  6 09:42:32 2010","","Alejandro González Iñárritu","Producer, <a href=""http://www.imdb.com/title/tt2562232/"">Birdman or (The Unexpected Virtue of Ignorance)</a>","1963-08-15"

"57","nm0190859","Wed Dec  1 07:40:14 2010","Mon Dec  6 09:41:36 2010","","Alfonso Cuarón","Writer, <a href=""http://www.imdb.com/title/tt1454468/"">Gravity</a>","1961-11-28"

"58","nm0001392","Wed Dec  1 07:40:21 2010","Wed Dec  1 07:40:21 2010","","Peter Jackson","Producer, <a href=""http://www.imdb.com/title/tt0120737/"">The Lord of the Rings: The Fellowship of the Ring</a>","1961-10-31"

"59","nm0000316","Wed Dec  1 07:43:18 2010","Mon Dec  6 09:41:59 2010","","Mel Brooks","Actor, <a href=""http://www.imdb.com/title/tt0395251/"">The Producers</a>","1926-06-28"

"60","nm0112218","Wed Dec  1 07:45:42 2010","Wed Dec  1 07:45:42 2010","","Richard Brooks","Writer, <a href=""http://www.imdb.com/title/tt0051459/"">Cat on a Hot Tin Roof</a>","1912-05-18"

"61","nm0001328","Wed Dec  1 07:45:58 2010","Mon Dec  6 09:43:06 2010","","Howard Hawks","Director, <a href=""http://www.imdb.com/title/tt0038355/"">The Big Sleep</a>","1896-05-30"

"62","nm0001175","Thu Dec 16 23:14:45 2010","Thu Dec 16 23:14:45 2010","","Blake Edwards","Writer, <a href=""http://www.imdb.com/title/tt0063415/"">The Party</a>","1922-07-26"

"63","nm0744035","Wed Dec  1 07:47:19 2010","Wed Dec  1 07:47:19 2010","","Robert Rossen","Writer, <a href=""http://www.imdb.com/title/tt0054997/"">The Hustler</a>","1908-03-16"

"64","nm0001437","Wed Mar 30 16:38:56 2011","Wed Mar 30 16:38:56 2011","","Emir Kusturica","Director, <a href=""http://www.imdb.com/title/tt0114787/"">Underground</a>","1954-11-24"

"65","nm0868153","Wed Dec  1 07:47:44 2010","Mon Dec  6 09:43:28 2010","","Giuseppe Tornatore","Writer, <a href=""http://www.imdb.com/title/tt0095765/"">Nuovo Cinema Paradiso</a>","1956-05-27"

"66","nm0359734","Wed Dec  1 07:49:05 2010","Mon Dec  6 09:42:32 2010","","Michael Haneke","Writer, <a href=""http://www.imdb.com/title/tt1149362/"">Das weiße Band - Eine deutsche Kindergeschichte</a>","1942-03-23"

"67","nm0878756","Wed Dec  1 07:58:23 2010","Wed Dec  1 07:58:23 2010","","Tom Tykwer","Composer, <a href=""http://www.imdb.com/title/tt0130827/"">Lola rennt</a>","1965-05-23"

"68","nm0634240","Wed Dec  1 07:13:26 2010","Mon Dec  6 09:42:54 2010","","Christopher Nolan","Writer, <a href=""http://www.imdb.com/title/tt0468569/"">The Dark Knight</a>","1970-07-30"

"69","nm0000343","Wed Dec  1 07:58:40 2010","Wed Dec  1 07:58:40 2010","","David Cronenberg","Director, <a href=""http://www.imdb.com/title/tt0091064/"">The Fly</a>","1943-03-15"

"70","nm0001054","Wed Dec  1 08:00:49 2010","Mon Dec  6 09:42:54 2010","Coen Brothers
""Ethan Coen""","Joel Coen","Producer, <a href=""http://www.imdb.com/title/tt0477348/"">No Country for Old Men</a>","1954-11-29"

"71","nm0001752","Wed Dec  1 08:03:40 2010","Mon Dec  6 09:42:13 2010","","Steven Soderbergh","Director, <a href=""http://www.imdb.com/title/tt0240772/"">Ocean's Eleven</a>","1963-01-14"

"72","nm0001885","Wed Dec  1 08:06:58 2010","Wed Dec  1 08:06:58 2010","","Lars von Trier","Writer, <a href=""http://www.imdb.com/title/tt1527186/"">Melancholia</a>","1956-04-30"

"73","nm0000076","Wed Dec  1 08:13:32 2010","Mon Dec  6 09:43:28 2010","","François Truffaut","Writer, <a href=""http://www.imdb.com/title/tt0053198/"">Les quatre cents coups</a>","1932-02-06"

"74","nm0000320","Thu Dec  2 02:54:04 2010","Mon Dec  6 09:42:23 2010","","Luis Buñuel","Writer, <a href=""http://www.imdb.com/title/tt0068361/"">Le charme discret de la bourgeoisie</a>","1900-02-22"

"75","nm0000774","Thu Dec  2 02:54:19 2010","Thu Dec  2 02:54:19 2010","","Michelangelo Antonioni","Writer, <a href=""http://www.imdb.com/title/tt0060176/"">Blowup</a>","1912-09-29"

"76","nm0001628","Thu Dec  2 02:55:05 2010","Mon Dec  6 09:43:27 2010","","Sydney Pollack","Director, <a href=""http://www.imdb.com/title/tt0084805/"">Tootsie</a>","1934-07-01"

"77","nm0001566","Thu Dec  2 02:57:09 2010","Mon Dec  6 09:42:29 2010","","Mike Nichols","Director, <a href=""http://www.imdb.com/title/tt0065528/"">Catch-22</a>","1931-11-06"

"78","nm0005069","Thu Dec  2 03:00:50 2010","Thu Dec  2 03:00:50 2010","","Spike Jonze","Director, <a href=""http://www.imdb.com/title/tt1798709/"">Her</a>","1969-10-22"

"79","nm0006487","Thu Dec  2 03:02:41 2010","Thu Dec  2 03:02:41 2010","","Jim Sheridan","Director, <a href=""http://www.imdb.com/title/tt0107207/"">In the Name of the Father</a>","1949-02-06"

"80","nm0002031","Mon Dec  6 09:05:48 2010","Mon Dec  6 09:42:07 2010","","Michael Curtiz","Director, <a href=""http://www.imdb.com/title/tt0034583/"">Casablanca</a>","1886-12-24"

"81","nm0000180","Mon Dec  6 09:06:54 2010","Mon Dec  6 09:06:54 2010","","David Lean","Director, <a href=""http://www.imdb.com/title/tt0056172/"">Lawrence of Arabia</a>","1908-03-25"

"82","nm0000631","Mon Dec  6 09:10:48 2010","Mon Dec  6 09:10:48 2010","","Ridley Scott","Producer, <a href=""http://www.imdb.com/title/tt0083658/"">Blade Runner</a>","1937-11-30"

"83","nm0001429","Mon Dec  6 09:11:43 2010","Mon Dec  6 09:11:43 2010","","Takeshi Kitano","Actor, <a href=""http://www.imdb.com/title/tt0363226/"">Zatôichi</a>","1947-01-18"

"84","nm0002545","Mon Dec  6 09:19:07 2010","Mon Dec  6 09:43:12 2010","","Preston Sturges","Writer, <a href=""http://www.imdb.com/title/tt0034240/"">Sullivan's Travels</a>","1898-08-29"

"85","nm0000231","Mon Dec  6 09:25:48 2010","Mon Dec  6 09:25:48 2010","","Oliver Stone","Director, <a href=""http://www.imdb.com/title/tt0091763/"">Platoon</a>","1946-09-15"

"86","nm0001232","Mon Dec  6 09:26:56 2010","Mon Dec  6 09:43:07 2010","","Milos Forman","Director, <a href=""http://www.imdb.com/title/tt0073486/"">One Flew Over the Cuckoo's Nest</a>","1932-02-18"

"87","nm0000265","Mon Dec  6 09:27:58 2010","Mon Dec  6 09:42:29 2010","","Robert Altman","Director, <a href=""http://www.imdb.com/title/tt0280707/"">Gosford Park</a>","1925-02-20"

"88","nm0002020","Mon Dec  6 09:31:35 2010","Mon Dec  6 09:31:35 2010","","Costa-Gavras","Director, <a href=""http://www.imdb.com/title/tt0084335/"">Missing</a>","1933-02-12"

"89","nm0906667","Mon Dec  6 09:31:54 2010","Mon Dec  6 09:31:54 2010","","Andrzej Wajda","Director, <a href=""http://www.imdb.com/title/tt0879843/"">Katyn</a>","1926-03-06"

"90","nm0896542","Mon Dec  6 09:33:02 2010","Mon Dec  6 09:42:37 2010","","King Vidor","Director, <a href=""http://www.imdb.com/title/tt0049934/"">War and Peace</a>","1894-02-08"

"91","nm0003433","Wed Mar 30 17:18:11 2011","Wed Mar 30 17:18:11 2011","","Carl Theodor Dreyer","Writer, <a href=""http://www.imdb.com/title/tt0019254/"">La passion de Jeanne d'Arc</a>","1889-02-03"

"92","nm0003638","Wed Nov 16 03:26:29 2011","Wed Nov 16 03:26:29 2011","","F.W. Murnau","Director, <a href=""http://www.imdb.com/title/tt0013442/"">Nosferatu, eine Symphonie des Grauens</a>","1888-12-28"

"93","nm0000428","Mon Dec  6 09:33:21 2010","Mon Dec  6 09:42:27 2010","","D.W. Griffith","Director, <a href=""http://www.imdb.com/title/tt0004972/"">The Birth of a Nation</a>","1875-01-22"

"94","nm0719756","Mon Dec  6 09:34:18 2010","Mon Dec  6 09:34:18 2010","","Jean Renoir","Writer, <a href=""http://www.imdb.com/title/tt0028950/"">La grande illusion</a>","1894-09-15"

"95","nm0001202","Mon Dec  6 09:37:29 2010","Mon Dec  6 09:42:14 2010","","Rainer Werner Fassbinder","Writer, <a href=""http://www.imdb.com/title/tt0079095/"">Die Ehe der Maria Braun</a>","1945-05-31"

"96","nm0000154","Mon Dec  6 09:37:41 2010","Mon Dec  6 09:37:41 2010","","Mel Gibson","Actor, <a href=""http://www.imdb.com/title/tt0112573/"">Braveheart</a>","1956-01-03"

"97","nm0001348","Mon Dec  6 09:41:36 2010","Mon Dec  6 09:41:36 2010","","Werner Herzog","Self, <a href=""http://www.imdb.com/title/tt0427312/"">Grizzly Man</a>","1942-09-05"

"98","nm0000361","Thu Dec 16 23:23:13 2010","Thu Dec 16 23:23:13 2010","","Brian De Palma","Director, <a href=""http://www.imdb.com/title/tt0086250/"">Scarface</a>","1940-09-11"

"99","nm0000416","Thu Dec 16 23:30:43 2010","Thu Dec 16 23:30:43 2010","","Terry Gilliam","Writer, <a href=""http://www.imdb.com/title/tt0071853/"">Monty Python and the Holy Grail</a>","1940-11-22"

"100","nm0070159","Wed Feb  4 15:34:00 2015","Wed Feb  4 15:34:00 2015","","Jafar Panahi","Director, <a href=""http://www.imdb.com/title/tt1667905/"">In film nist</a>","1960-07-11"
