"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)",
"113","nm0000071","Sun Aug 31 07:27:30 2014","Sun Aug 31 07:27:30 2014","","James Stewart","Actor, <a href=""http://www.imdb.com/title/tt0047396/"">Rear Window</a>","1908-05-20"

"114","nm0000190","Thu Aug 13 11:02:38 2015","Thu Aug 13 11:02:38 2015","","Matthew McConaughey","Actor, <a href=""http://www.imdb.com/title/tt0816692/"">Interstellar</a>","1969-11-04"

"115","nm0000564","Sun Mar  9 07:06:31 2014","Sun Mar  9 07:06:31 2014","","Peter O'Toole","Actor, <a href=""http://www.imdb.com/title/tt0056172/"">Lawrence of Arabia</a>","1932-08-02"

"116","nm0000010","Sun Mar  9 07:06:38 2014","Sun Mar  9 07:06:38 2014","","James Cagney","Actor, <a href=""http://www.imdb.com/title/tt0042041/"">White Heat</a>","1899-07-17"

"117","nm0005212","Sun Mar  9 07:06:56 2014","Sun Mar  9 07:06:56 2014","","Ian McKellen","Actor, <a href=""http://www.imdb.com/title/tt0120737/"">The Lord of the Rings: The Fellowship of the Ring</a>","1939-05-25"

"118","nm0000131","Sun Mar  9 07:07:01 2014","Sun Mar  9 07:07:01 2014","","John Cusack","Actor, <a href=""http://www.imdb.com/title/tt0120601/"">Being John Malkovich</a>","1966-06-28"

"119","nm0000195","Sun Mar  9 07:07:09 2014","Sun Mar  9 07:07:09 2014","","Bill Murray","Actor, <a href=""http://www.imdb.com/title/tt0107048/"">Groundhog Day</a>","1950-09-21"

"120","nm0000375","Thu Aug 13 11:00:22 2015","Thu Aug 13 11:00:22 2015","","Robert Downey Jr.","Actor, <a href=""http://www.imdb.com/title/tt0848228/"">The Avengers</a>","1965-04-04"

"121","nm0000115","Sun Mar  9 07:07:20 2014","Sun Mar  9 07:07:20 2014","","Nicolas Cage","Actor, <a href=""http://www.imdb.com/title/tt0113627/"">Leaving Las Vegas</a>","1964-01-07"

"122","nm0000698","Sun Mar  9 07:08:07 2014","Sun Mar  9 07:08:07 2014","","Gene Wilder","Actor, <a href=""http://www.imdb.com/title/tt0072431/"">Young Frankenstein</a>","1933-06-11"

"123","nm0000126","Sun Mar  9 07:08:14 2014","Sun Mar  9 07:08:14 2014","","Kevin Costner","Actor, <a href=""http://www.imdb.com/title/tt0099348/"">Dances with Wolves</a>","1955-01-18"

"124","nm0000661","Thu Aug 13 11:12:07 2015","Thu Aug 13 11:12:07 2015","","Donald Sutherland","Actor, <a href=""http://www.imdb.com/title/tt0317740/"">The Italian Job</a>","1935-07-17"

"125","nm0001136","Fri Apr  3 08:26:43 2015","Fri Apr  3 08:26:43 2015","","Bruce Dern","Actor, <a href=""http://www.imdb.com/title/tt1821549/"">Nebraska</a>","1936-06-04"

"151","nm0000122","Sun Mar  9 07:17:51 2014","Sun Mar  9 07:17:51 2014","","Charles Chaplin","Writer, <a href=""http://www.imdb.com/title/tt0027977/"">Modern Times</a>","1889-04-16"

"152","nm0000634","Sun Mar  9 07:18:04 2014","Sun Mar  9 07:18:04 2014","","Peter Sellers","Actor, <a href=""http://www.imdb.com/title/tt0057012/"">Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb</a>","1925-09-08"

"153","nm0000095","Sun Mar  9 07:18:10 2014","Sun Mar  9 07:18:10 2014","","Woody Allen","Writer, <a href=""http://www.imdb.com/title/tt1605783/"">Midnight in Paris</a>","1935-12-01"

"154","nm0000685","Sun Mar  9 07:18:23 2014","Sun Mar  9 07:18:23 2014","","Jon Voight","Actor, <a href=""http://www.imdb.com/title/tt0117060/"">Mission: Impossible</a>","1938-12-29"

"155","nm0000154","Sun Mar  9 07:18:29 2014","Sun Mar  9 07:18:29 2014","","Mel Gibson","Actor, <a href=""http://www.imdb.com/title/tt0112573/"">Braveheart</a>","1956-01-03"

"156","nm0000120","Sun Mar  9 07:18:35 2014","Sun Mar  9 07:18:35 2014","","Jim Carrey","Actor, <a href=""http://www.imdb.com/title/tt0338013/"">Eternal Sunshine of the Spotless Mind</a>","1962-01-17"

"157","nm0000242","Sun Mar  9 07:18:44 2014","Sun Mar  9 07:18:44 2014","","Mark Wahlberg","Actor, <a href=""http://www.imdb.com/title/tt0118749/"">Boogie Nights</a>","1971-06-05"

"158","nm0000188","Sun Mar  9 07:18:51 2014","Sun Mar  9 07:18:51 2014","","Steve Martin","Writer, <a href=""http://www.imdb.com/title/tt0086873/"">All of Me</a>","1945-08-14"

"159","nm0000849","Sun Mar  9 07:19:02 2014","Sun Mar  9 07:19:02 2014","","Javier Bardem","Actor, <a href=""http://www.imdb.com/title/tt0477348/"">No Country for Old Men</a>","1969-03-01"

"160","nm0000209","Sun Mar  9 07:19:10 2014","Sun Mar  9 07:19:10 2014","","Tim Robbins","Actor, <a href=""http://www.imdb.com/title/tt0111161/"">The Shawshank Redemption</a>","1958-10-16"

"161","nm0000216","Sun Mar  9 07:19:24 2014","Sun Mar  9 07:19:24 2014","","Arnold Schwarzenegger","Actor, <a href=""http://www.imdb.com/title/tt0088247/"">The Terminator</a>","1947-07-30"

"162","nm0000230","Sun Mar  9 07:19:33 2014","Sun Mar  9 07:19:33 2014","","Sylvester Stallone","Actor, <a href=""http://www.imdb.com/title/tt0075148/"">Rocky</a>","1946-07-06"

"163","nm0001557","Sun Mar  9 07:19:47 2014","Sun Mar  9 07:19:47 2014","","Viggo Mortensen","Actor, <a href=""http://www.imdb.com/title/tt0399146/"">A History of Violence</a>","1958-10-20"

"164","nm0915989","Sun Mar  9 07:19:58 2014","Sun Mar  9 07:19:58 2014","","Hugo Weaving","Actor, <a href=""http://www.imdb.com/title/tt0133093/"">The Matrix</a>","1960-04-04"

"165","nm0000489","Sun Mar  9 07:20:08 2014","Sun Mar  9 07:20:08 2014","","Christopher Lee","Actor, <a href=""http://www.imdb.com/title/tt0120737/"">The Lord of the Rings: The Fellowship of the Ring</a>","1922-05-27"

"166","nm0001691","Sun Mar  9 07:20:15 2014","Sun Mar  9 07:20:15 2014","","Geoffrey Rush","Actor, <a href=""http://www.imdb.com/title/tt0325980/"">Pirates of the Caribbean: The Curse of the Black Pearl</a>","1951-07-06"

"167","nm0000027","Sun Mar  9 07:20:22 2014","Sun Mar  9 07:20:22 2014","","Alec Guinness","Actor, <a href=""http://www.imdb.com/title/tt0076759/"">Star Wars</a>","1914-04-02"

"168","nm0000009","Sun Mar  9 07:20:30 2014","Sun Mar  9 07:20:30 2014","","Richard Burton","Actor, <a href=""http://www.imdb.com/title/tt0061184/"">Who's Afraid of Virginia Woolf?</a>","1925-11-10"

"169","nm0000285","Sun Mar  9 07:20:40 2014","Sun Mar  9 07:20:40 2014","","Alec Baldwin","Actor, <a href=""http://www.imdb.com/title/tt0407887/"">The Departed</a>","1958-04-03"

"170","nm0001001","Sun Mar  9 07:20:48 2014","Sun Mar  9 07:20:48 2014","","James Caan","Actor, <a href=""http://www.imdb.com/title/tt0068646/"">The Godfather</a>","1940-03-26"

"171","nm0000140","Sun Mar  9 07:20:58 2014","Sun Mar  9 07:20:58 2014","","Michael Douglas","Actor, <a href=""http://www.imdb.com/title/tt0119174/"">The Game</a>","1944-09-25"

"172","nm0001774","Sun Mar  9 07:21:07 2014","Sun Mar  9 07:21:07 2014","","Ben Stiller","Producer, <a href=""http://www.imdb.com/title/tt0196229/"">Zoolander</a>","1965-11-30"

"173","nm0000353","Sun Mar  9 07:21:18 2014","Sun Mar  9 07:21:18 2014","","Willem Dafoe","Actor, <a href=""http://www.imdb.com/title/tt0145487/"">Spider-Man</a>","1955-07-22"

"174","nm0000438","Sun Mar  9 07:21:29 2014","Sun Mar  9 07:21:29 2014","","Ed Harris","Actor, <a href=""http://www.imdb.com/title/tt0268978/"">A Beautiful Mind</a>","1950-11-28"

"175","nm0000172","Sun Mar  9 07:21:35 2014","Sun Mar  9 07:21:35 2014","","Harvey Keitel","Actor, <a href=""http://www.imdb.com/title/tt0105236/"">Reservoir Dogs</a>","1939-05-13"

"201","nm0001125","Sun Mar  9 07:28:17 2014","Sun Mar  9 07:28:17 2014","","Benicio Del Toro","Actor, <a href=""http://www.imdb.com/title/tt0208092/"">Snatch.</a>","1967-02-19"

"202","nm0000102","Sun Mar  9 07:28:31 2014","Sun Mar  9 07:28:31 2014","","Kevin Bacon","Actor, <a href=""http://www.imdb.com/title/tt0112384/"">Apollo 13</a>","1958-07-08"

"203","nm0000664","Sun Mar  9 07:28:45 2014","Sun Mar  9 07:28:45 2014","","Patrick Swayze","Actor, <a href=""http://www.imdb.com/title/tt0099653/"">Ghost</a>","1952-08-18"

"204","nm0000323","Sun Mar  9 07:28:50 2014","Sun Mar  9 07:28:50 2014","","Michael Caine","Actor, <a href=""http://www.imdb.com/title/tt0468569/"">The Dark Knight</a>","1933-03-14"

"205","nm0000142","Sun Mar  9 07:29:04 2014","Sun Mar  9 07:29:04 2014","","Clint Eastwood","Actor, <a href=""http://www.imdb.com/title/tt0405159/"">Million Dollar Baby</a>","1930-05-31"

"206","nm0000044","Sun Mar  9 07:29:22 2014","Sun Mar  9 07:29:22 2014","","Burt Lancaster","Actor, <a href=""http://www.imdb.com/title/tt0045793/"">From Here to Eternity</a>","1913-11-02"

"207","nm0000053","Sun Mar  9 07:29:29 2014","Sun Mar  9 07:29:29 2014","","Robert Mitchum","Actor, <a href=""http://www.imdb.com/title/tt0048424/"">The Night of the Hunter</a>","1917-08-06"

"208","nm0268199","Sun Mar  9 07:34:15 2014","Sun Mar  9 07:34:15 2014","","Colin Farrell","Actor, <a href=""http://www.imdb.com/title/tt0183649/"">Phone Booth</a>","1976-05-31"

"209","nm0000034","Sun Mar  9 07:34:31 2014","Sun Mar  9 07:34:31 2014","","William Holden","Actor, <a href=""http://www.imdb.com/title/tt0050212/"">The Bridge on the River Kwai</a>","1918-04-17"

"210","nm0000064","Sun Mar  9 07:34:41 2014","Sun Mar  9 07:34:41 2014","","Edward G. Robinson","Actor, <a href=""http://www.imdb.com/title/tt0036775/"">Double Indemnity</a>","1893-12-12"

"211","nm0001635","Sun Mar  9 07:34:57 2014","Sun Mar  9 07:34:57 2014","","William Powell","Actor, <a href=""http://www.imdb.com/title/tt0025878/"">The Thin Man</a>","1892-07-29"

"212","nm0001224","Sun Mar  9 07:35:11 2014","Sun Mar  9 07:35:11 2014","","Errol Flynn","Actor, <a href=""http://www.imdb.com/title/tt0029843/"">The Adventures of Robin Hood</a>","1909-06-20"

"213","nm0000050","Sun Mar  9 07:35:23 2014","Sun Mar  9 07:35:23 2014","","Groucho Marx","Soundtrack, <a href=""http://www.imdb.com/title/tt0023969/"">Duck Soup</a>","1890-10-02"

"214","nm0000051","Sun Mar  9 07:35:30 2014","Sun Mar  9 07:35:30 2014","","James Mason","Actor, <a href=""http://www.imdb.com/title/tt0053125/"">North by Northwest</a>","1909-05-15"

"215","nm0000036","Sun Mar  9 07:35:39 2014","Sun Mar  9 07:35:39 2014","","Buster Keaton","Actor, <a href=""http://www.imdb.com/title/tt0017925/"">The General</a>","1895-10-04"

"216","nm0000037","Sun Mar  9 07:36:25 2014","Sun Mar  9 07:36:25 2014","","Gene Kelly","Actor, <a href=""http://www.imdb.com/title/tt0045152/"">Singin' in the Rain</a>","1912-08-23"

"217","nm0000001","Sun Mar  9 07:37:43 2014","Sun Mar  9 07:37:43 2014","","Fred Astaire","Soundtrack, <a href=""http://www.imdb.com/title/tt0027125/"">Top Hat</a>","1899-05-10"

"218","nm0177896","Sun Mar  9 07:37:53 2014","Sun Mar  9 07:37:53 2014","","Bradley Cooper","Actor, <a href=""http://www.imdb.com/title/tt1045658/"">Silver Linings Playbook</a>","1975-01-05"

"219","nm0000179","Sun Mar  9 07:38:07 2014","Sun Mar  9 07:38:07 2014","","Jude Law","Actor, <a href=""http://www.imdb.com/title/tt0988045/"">Sherlock Holmes</a>","1972-12-29"

"220","nm1500155","Sun Mar  9 07:38:14 2014","Sun Mar  9 07:38:14 2014","","Robert Pattinson","Actor, <a href=""http://www.imdb.com/title/tt1099212/"">Twilight</a>","1986-05-13"

"221","nm0316079","Sun Mar  9 07:38:21 2014","Sun Mar  9 07:38:21 2014","","Paul Giamatti","Actor, <a href=""http://www.imdb.com/title/tt0375063/"">Sideways</a>","1967-06-06"

"222","nm0001845","Sun Mar  9 07:38:29 2014","Sun Mar  9 07:38:29 2014","","Forest Whitaker","Actor, <a href=""http://www.imdb.com/title/tt0091763/"">Platoon</a>","1961-07-15"

"223","nm0001467","Sun Mar  9 07:38:37 2014","Sun Mar  9 07:38:37 2014","","Jared Leto","Actor, <a href=""http://www.imdb.com/title/tt0180093/"">Requiem for a Dream</a>","1971-12-26"

"224","nm1706767","Sun Mar  9 07:38:46 2014","Sun Mar  9 07:38:46 2014","","Jonah Hill","Actor, <a href=""http://www.imdb.com/title/tt1232829/"">21 Jump Street</a>","1983-12-20"

"225","nm1055413","Sun Mar  9 07:38:57 2014","Sun Mar  9 07:38:57 2014","","Michael Fassbender","Actor, <a href=""http://www.imdb.com/title/tt0361748/"">Inglourious Basterds</a>","1977-04-02"

"251","nm0000273","Sun Mar  9 15:13:47 2014","Sun Mar  9 15:13:47 2014","","Alan Arkin","Actor, <a href=""http://www.imdb.com/title/tt1024648/"">Argo</a>","1934-03-26"

"252","nm1212722","Sun Mar  9 15:14:01 2014","Sun Mar  9 15:14:01 2014","","Benedict Cumberbatch","Actor, <a href=""http://www.imdb.com/title/tt2084970/"">The Imitation Game</a>","1976-07-19"

"253","nm1165110","Sun Mar  9 15:37:13 2014","Sun Mar  9 15:37:13 2014","","Chris Hemsworth","Actor, <a href=""http://www.imdb.com/title/tt0800369/"">Thor</a>","1983-08-11"

"254","nm0147147","Sun Mar  9 15:37:29 2014","Sun Mar  9 15:37:29 2014","","Henry Cavill","Actor, <a href=""http://www.imdb.com/title/tt0770828/"">Man of Steel</a>","1983-05-05"

"255","nm0362766","Sun Mar  9 15:37:35 2014","Sun Mar  9 15:37:35 2014","","Tom Hardy","Actor, <a href=""http://www.imdb.com/title/tt1375666/"">Inception</a>","1977-09-15"

"256","nm0241121","Sun Mar  9 15:37:55 2014","Sun Mar  9 15:37:55 2014","","Jean Dujardin","Actor, <a href=""http://www.imdb.com/title/tt1655442/"">The Artist</a>","1972-06-19"

"257","nm0000147","Sun Mar  9 15:38:24 2014","Sun Mar  9 15:38:24 2014","","Colin Firth","Actor, <a href=""http://www.imdb.com/title/tt1504320/"">The King's Speech</a>","1960-09-10"

"258","nm0004937","Sun Mar  9 15:38:33 2014","Sun Mar  9 15:38:33 2014","","Jamie Foxx","Actor, <a href=""http://www.imdb.com/title/tt1853728/"">Django Unchained</a>","1967-12-13"

"259","nm0004778","Sun Mar  9 15:38:41 2014","Sun Mar  9 15:38:41 2014","","Adrien Brody","Actor, <a href=""http://www.imdb.com/title/tt0253474/"">The Pianist</a>","1973-04-14"

