"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)",
"37","nm0000173","Sun Mar  9 06:47:15 2014","Sun Mar  9 06:47:15 2014","","Nicole Kidman","Actress, <a href=""http://www.imdb.com/title/tt0203009/"">Moulin Rouge!</a>","1967-06-20"

"38","nm0000113","Sun Mar  9 06:46:12 2014","Sun Mar  9 06:46:12 2014","","Sandra Bullock","Actress, <a href=""http://www.imdb.com/title/tt1454468/"">Gravity</a>","1964-07-26"

"39","nm0000204","Sun Mar  9 06:48:08 2014","Sun Mar  9 06:48:08 2014","","Natalie Portman","Actress, <a href=""http://www.imdb.com/title/tt0434409/"">V for Vendetta</a>","1981-06-09"

"40","nm0000149","Sun Mar  9 06:47:59 2014","Sun Mar  9 06:47:59 2014","","Jodie Foster","Actress, <a href=""http://www.imdb.com/title/tt0102926/"">The Silence of the Lambs</a>","1962-11-19"

"41","nm0001132","Sun Mar  9 06:46:19 2014","Sun Mar  9 06:46:19 2014","","Judi Dench","Actress, <a href=""http://www.imdb.com/title/tt1074638/"">Skyfall</a>","1934-12-09"

"42","nm0010736","Sun Mar  9 06:46:26 2014","Sun Mar  9 06:46:26 2014","","Amy Adams","Actress, <a href=""http://www.imdb.com/title/tt0770828/"">Man of Steel</a>","1974-08-20"

"43","nm0000210","Sun Mar  9 06:47:00 2014","Sun Mar  9 06:47:00 2014","","Julia Roberts","Actress, <a href=""http://www.imdb.com/title/tt0125439/"">Notting Hill</a>","1967-10-28"

"44","nm0000668","Sun Mar  9 06:47:44 2014","Sun Mar  9 06:47:44 2014","","Emma Thompson","Actress, <a href=""http://www.imdb.com/title/tt0114388/"">Sense and Sensibility</a>","1959-04-15"

"45","nm0000473","Sun Mar  9 06:47:51 2014","Sun Mar  9 06:47:51 2014","","Diane Keaton","Actress, <a href=""http://www.imdb.com/title/tt0071562/"">The Godfather: Part II</a>","1946-01-05"

"46","nm0000038","Thu Aug 13 10:24:11 2015","Thu Aug 13 10:24:11 2015","","Grace Kelly","Actress, <a href=""http://www.imdb.com/title/tt0047396/"">Rear Window</a>","1929-11-12"

"47","nm0000511","Sun Mar  9 06:48:23 2014","Sun Mar  9 06:48:23 2014","","Shirley MacLaine","Actress, <a href=""http://www.imdb.com/title/tt0053604/"">The Apartment</a>","1934-04-24"

"48","nm0000702","Sun Mar  9 06:48:40 2014","Sun Mar  9 06:48:40 2014","","Reese Witherspoon","Actress, <a href=""http://www.imdb.com/title/tt0358273/"">Walk the Line</a>","1976-03-22"

"49","nm0000234","Sun Mar  9 06:49:23 2014","Sun Mar  9 06:49:23 2014","","Charlize Theron","Actress, <a href=""http://www.imdb.com/title/tt1392190/"">Mad Max: Fury Road</a>","1975-08-07"

"50","nm0000023","Sun Mar  9 07:01:49 2014","Sun Mar  9 07:01:49 2014","","Judy Garland","Soundtrack, <a href=""http://www.imdb.com/title/tt0032138/"">The Wizard of Oz</a>","1922-06-10"

"76","nm0000046","Sun Mar  9 06:56:40 2014","Sun Mar  9 06:56:40 2014","","Vivien Leigh","Actress, <a href=""http://www.imdb.com/title/tt0031381/"">Gone with the Wind</a>","1913-11-05"

"77","nm0001401","Sun Mar  9 06:56:52 2014","Sun Mar  9 06:56:52 2014","","Angelina Jolie","Actress, <a href=""http://www.imdb.com/title/tt1587310/"">Maleficent</a>","1975-06-04"

"78","nm0004266","Thu Aug 13 10:28:59 2015","Thu Aug 13 10:28:59 2015","","Anne Hathaway","Actress, <a href=""http://www.imdb.com/title/tt1707386/"">Les Misérables</a>","1982-11-12"

"79","nm0001749","Thu Aug 13 10:29:25 2015","Thu Aug 13 10:29:25 2015","","Maggie Smith","Actress, <a href=""http://www.imdb.com/title/tt0064840/"">The Prime of Miss Jean Brodie</a>","1934-12-28"

"80","nm0000014","Sun Mar  9 06:57:02 2014","Sun Mar  9 06:57:02 2014","","Olivia de Havilland","Actress, <a href=""http://www.imdb.com/title/tt0029843/"">The Adventures of Robin Hood</a>","1916-07-01"

"81","nm0001766","Sun Mar  9 06:57:30 2014","Sun Mar  9 06:57:30 2014","","Barbara Stanwyck","Actress, <a href=""http://www.imdb.com/title/tt0036775/"">Double Indemnity</a>","1907-07-16"

"82","nm0000021","Sun Mar  9 06:57:39 2014","Sun Mar  9 06:57:39 2014","","Joan Fontaine","Actress, <a href=""http://www.imdb.com/title/tt0032976/"">Rebecca</a>","1917-10-22"

"83","nm0002093","Sun Mar  9 06:58:00 2014","Sun Mar  9 06:58:00 2014","","Greer Garson","Actress, <a href=""http://www.imdb.com/title/tt0035093/"">Mrs. Miniver</a>","1904-09-29"

"84","nm0001159","Sun Mar  9 06:58:08 2014","Sun Mar  9 06:58:08 2014","","Faye Dunaway","Actress, <a href=""http://www.imdb.com/title/tt0071315/"">Chinatown</a>","1941-01-14"

"85","nm0001333","Sun Mar  9 07:00:23 2014","Sun Mar  9 07:00:23 2014","","Susan Hayward","Actress, <a href=""http://www.imdb.com/title/tt0051758/"">I Want to Live!</a>","1917-06-30"

"86","nm0000995","Sun Mar  9 07:00:36 2014","Sun Mar  9 07:00:36 2014","","Ellen Burstyn","Actress, <a href=""http://www.imdb.com/title/tt0816692/"">Interstellar</a>","1932-12-07"

"87","nm0943837","Sun Mar  9 07:00:46 2014","Sun Mar  9 07:00:46 2014","","Jane Wyman","Actress, <a href=""http://www.imdb.com/title/tt0037884/"">The Lost Weekend</a>","1917-01-05"

"88","nm0000047","Sun Mar  9 07:01:01 2014","Sun Mar  9 07:01:01 2014","","Sophia Loren","Actress, <a href=""http://www.imdb.com/title/tt0054847/"">El Cid</a>","1934-09-20"

"89","nm0001076","Sun Mar  9 07:01:14 2014","Sun Mar  9 07:01:14 2014","","Joan Crawford","Actress, <a href=""http://www.imdb.com/title/tt0037913/"">Mildred Pierce</a>","1905-03-23"

"90","nm0000870","Sun Mar  9 07:01:37 2014","Sun Mar  9 07:01:37 2014","","Kathy Bates","Actress, <a href=""http://www.imdb.com/title/tt0120338/"">Titanic</a>","1948-06-28"

"91","nm0000267","Sun Mar  9 07:01:59 2014","Sun Mar  9 07:01:59 2014","","Julie Andrews","Actress, <a href=""http://www.imdb.com/title/tt0059742/"">The Sound of Music</a>","1935-10-01"

"92","nm0182839","Thu Aug 13 10:30:38 2015","Thu Aug 13 10:30:38 2015","","Marion Cotillard","Actress, <a href=""http://www.imdb.com/title/tt1345836/"">The Dark Knight Rises</a>","1975-09-30"

"93","nm0000039","Sun Mar  9 07:02:21 2014","Sun Mar  9 07:02:21 2014","","Deborah Kerr","Actress, <a href=""http://www.imdb.com/title/tt0049408/"">The King and I</a>","1921-09-30"

"94","nm0000651","Sun Mar  9 07:02:45 2014","Sun Mar  9 07:02:45 2014","","Sissy Spacek","Actress, <a href=""http://www.imdb.com/title/tt0074285/"">Carrie</a>","1949-12-25"

"95","nm0000215","Sun Mar  9 07:02:34 2014","Sun Mar  9 07:02:34 2014","","Susan Sarandon","Actress, <a href=""http://www.imdb.com/title/tt0103074/"">Thelma & Louise</a>","1946-10-04"

"96","nm0707023","Sun Mar  9 07:02:55 2014","Sun Mar  9 07:02:55 2014","","Luise Rainer","Actress, <a href=""http://www.imdb.com/title/tt0027698/"">The Great Ziegfeld</a>","1910-01-12"

"97","nm0000335","Sun Mar  9 07:03:05 2014","Sun Mar  9 07:03:05 2014","","Glenn Close","Actress, <a href=""http://www.imdb.com/title/tt2015381/"">Guardians of the Galaxy</a>","1947-03-19"

"98","nm0000013","Sun Mar  9 07:03:17 2014","Sun Mar  9 07:03:17 2014","","Doris Day","Soundtrack, <a href=""http://www.imdb.com/title/tt0049470/"">The Man Who Knew Too Much</a>","1922-04-03"

"99","nm0000081","Sun Mar  9 07:03:40 2014","Sun Mar  9 07:03:40 2014","","Natalie Wood","Actress, <a href=""http://www.imdb.com/title/tt0055614/"">West Side Story</a>","1938-07-20"

"100","nm0000404","Sun Mar  9 07:03:48 2014","Sun Mar  9 07:03:48 2014","","Jane Fonda","Actress, <a href=""http://www.imdb.com/title/tt0080319/"">Nine to Five</a>","1937-12-21"

"126","nm0001257","Sun Mar  9 07:08:24 2014","Sun Mar  9 07:08:24 2014","","Ava Gardner","Actress, <a href=""http://www.imdb.com/title/tt0038669/"">The Killers</a>","1922-12-24"

"127","nm0428354","Sun Mar  9 07:08:31 2014","Sun Mar  9 07:08:31 2014","","Jennifer Jones","Actress, <a href=""http://www.imdb.com/title/tt0036377/"">The Song of Bernadette</a>","1919-03-02"

"128","nm0000398","Sun Mar  9 07:08:37 2014","Sun Mar  9 07:08:37 2014","","Sally Field","Actress, <a href=""http://www.imdb.com/title/tt0109830/"">Forrest Gump</a>","1946-11-06"

"129","nm0001256","Sun Mar  9 07:08:46 2014","Sun Mar  9 07:08:46 2014","","Greta Garbo","Actress, <a href=""http://www.imdb.com/title/tt0031725/"">Ninotchka</a>","1905-09-18"

"130","nm0000456","Sun Mar  9 07:08:53 2014","Sun Mar  9 07:08:53 2014","","Holly Hunter","Actress, <a href=""http://www.imdb.com/title/tt0317705/"">The Incredibles</a>","1958-03-20"

"131","nm0005476","Sun Mar  9 07:09:00 2014","Sun Mar  9 07:09:00 2014","","Hilary Swank","Actress, <a href=""http://www.imdb.com/title/tt0405159/"">Million Dollar Baby</a>","1974-07-30"

"132","nm0001055","Sun Mar  9 07:09:08 2014","Sun Mar  9 07:09:08 2014","","Claudette Colbert","Actress, <a href=""http://www.imdb.com/title/tt0025316/"">It Happened One Night</a>","1903-09-13"

"133","nm0000178","Sun Mar  9 07:09:16 2014","Sun Mar  9 07:09:16 2014","","Diane Lane","Actress, <a href=""http://www.imdb.com/title/tt0770828/"">Man of Steel</a>","1965-01-22"

"134","nm0001448","Sun Mar  9 07:09:28 2014","Sun Mar  9 07:09:28 2014","","Jessica Lange","Actress, <a href=""http://www.imdb.com/title/tt0319061/"">Big Fish</a>","1949-04-20"

"135","nm0841797","Sun Mar  9 07:09:38 2014","Sun Mar  9 07:09:38 2014","","Gloria Swanson","Actress, <a href=""http://www.imdb.com/title/tt0043014/"">Sunset Blvd.</a>","1899-03-27"

"136","nm0000002","Sun Mar  9 07:09:51 2014","Sun Mar  9 07:09:51 2014","","Lauren Bacall","Actress, <a href=""http://www.imdb.com/title/tt0038355/"">The Big Sleep</a>","1924-09-16"

"137","nm0000531","Sun Mar  9 07:10:05 2014","Sun Mar  9 07:10:05 2014","","Frances McDormand","Actress, <a href=""http://www.imdb.com/title/tt0116282/"">Fargo</a>","1957-06-23"

"138","nm0790454","Sun Mar  9 07:10:19 2014","Sun Mar  9 07:10:19 2014","","Norma Shearer","Actress, <a href=""http://www.imdb.com/title/tt0032143/"">The Women</a>","1902-08-10"

"139","nm0000541","Sun Mar  9 07:10:31 2014","Sun Mar  9 07:10:31 2014","","Bette Midler","Soundtrack, <a href=""http://www.imdb.com/title/tt0094715/"">Beaches</a>","1945-12-01"

"140","nm0001546","Sun Mar  9 07:10:47 2014","Sun Mar  9 07:10:47 2014","","Mary Tyler Moore","Actress, <a href=""http://www.imdb.com/title/tt0081283/"">Ordinary People</a>","1936-12-29"

"141","nm0536167","Sun Mar  9 07:10:57 2014","Sun Mar  9 07:10:57 2014","","Anna Magnani","Actress, <a href=""http://www.imdb.com/title/tt0038890/"">Roma città aperta</a>","1908-03-07"

"142","nm0000932","Sun Mar  9 07:11:06 2014","Sun Mar  9 07:11:06 2014","","Halle Berry","Actress, <a href=""http://www.imdb.com/title/tt0376994/"">X-Men: The Last Stand</a>","1966-08-14"

"143","nm0000232","Sun Mar  9 07:11:18 2014","Sun Mar  9 07:11:18 2014","","Sharon Stone","Actress, <a href=""http://www.imdb.com/title/tt0112641/"">Casino</a>","1958-03-10"

"144","nm0000107","Sun Mar  9 07:11:27 2014","Sun Mar  9 07:11:27 2014","","Kim Basinger","Actress, <a href=""http://www.imdb.com/title/tt0119488/"">L.A. Confidential</a>","1953-12-08"

"145","nm0413559","Sun Mar  9 07:11:45 2014","Sun Mar  9 07:11:45 2014","","Glenda Jackson","Actress, <a href=""http://www.imdb.com/title/tt0067805/"">Sunday Bloody Sunday</a>","1936-05-09"

"146","nm0001656","Sun Mar  9 07:12:00 2014","Sun Mar  9 07:12:00 2014","","Donna Reed","Actress, <a href=""http://www.imdb.com/title/tt0038650/"">It's a Wonderful Life</a>","1921-01-27"

"147","nm0000133","Sun Mar  9 07:13:14 2014","Sun Mar  9 07:13:14 2014","","Geena Davis","Actress, <a href=""http://www.imdb.com/title/tt0094721/"">Beetlejuice</a>","1956-01-21"

"148","nm0000193","Sun Mar  9 07:13:47 2014","Sun Mar  9 07:13:47 2014","","Demi Moore","Actress, <a href=""http://www.imdb.com/title/tt0099653/"">Ghost</a>","1962-11-11"

"149","nm0000201","Sun Mar  9 07:13:57 2014","Sun Mar  9 07:13:57 2014","","Michelle Pfeiffer","Actress, <a href=""http://www.imdb.com/title/tt0086250/"">Scarface</a>","1958-04-29"

"150","nm0591485","Sun Mar  9 07:14:08 2014","Sun Mar  9 07:14:08 2014","","Liza Minnelli","Soundtrack, <a href=""http://www.imdb.com/title/tt0068327/"">Cabaret</a>","1946-03-12"

"176","nm0000106","Sun Mar  9 07:21:45 2014","Sun Mar  9 07:21:45 2014","","Drew Barrymore","Producer, <a href=""http://www.imdb.com/title/tt0246578/"">Donnie Darko</a>","1975-02-22"

"177","nm0000213","Sun Mar  9 07:21:53 2014","Sun Mar  9 07:21:53 2014","","Winona Ryder","Actress, <a href=""http://www.imdb.com/title/tt0099487/"">Edward Scissorhands</a>","1971-10-29"

"178","nm0000678","Sun Mar  9 07:22:06 2014","Sun Mar  9 07:22:06 2014","","Kathleen Turner","Actress, <a href=""http://www.imdb.com/title/tt0159097/"">The Virgin Suicides</a>","1954-06-19"

"179","nm0000235","Sun Mar  9 07:22:13 2014","Sun Mar  9 07:22:13 2014","","Uma Thurman","Actress, <a href=""http://www.imdb.com/title/tt0110912/"">Pulp Fiction</a>","1970-04-29"

"180","nm0567408","Sun Mar  9 07:22:23 2014","Sun Mar  9 07:22:23 2014","","Hattie McDaniel","Actress, <a href=""http://www.imdb.com/title/tt0031381/"">Gone with the Wind</a>","1895-06-10"

"181","nm0000623","Sun Mar  9 07:22:30 2014","Sun Mar  9 07:22:30 2014","","Rene Russo","Actress, <a href=""http://www.imdb.com/title/tt0114069/"">Outbreak</a>","1954-02-17"

"182","nm0000906","Sun Mar  9 07:23:09 2014","Sun Mar  9 07:23:09 2014","","Annette Bening","Actress, <a href=""http://www.imdb.com/title/tt0169547/"">American Beauty</a>","1958-05-29"

"183","nm0000244","Sun Mar  9 07:23:44 2014","Sun Mar  9 07:23:44 2014","","Sigourney Weaver","Actress, <a href=""http://www.imdb.com/title/tt0090605/"">Aliens</a>","1949-10-08"

"184","nm0000659","Sun Mar  9 07:23:19 2014","Sun Mar  9 07:23:19 2014","","Barbra Streisand","Soundtrack, <a href=""http://www.imdb.com/title/tt0075265/"">A Star Is Born</a>","1942-04-24"

"185","nm0000079","Sun Mar  9 07:23:30 2014","Sun Mar  9 07:23:30 2014","","Raquel Welch","Actress, <a href=""http://www.imdb.com/title/tt0072281/"">The Three Musketeers</a>","1940-09-05"

"186","nm0940946","Sun Mar  9 07:24:02 2014","Sun Mar  9 07:24:02 2014","","Joanne Woodward","Actress, <a href=""http://www.imdb.com/title/tt0107818/"">Philadelphia</a>","1930-02-27"

"187","nm0095804","Sun Mar  9 07:24:26 2014","Sun Mar  9 07:24:26 2014","","Shirley Booth","Actress, <a href=""http://www.imdb.com/title/tt0072424/"">The Year Without a Santa Claus</a>","1898-08-30"

"188","nm0564790","Sun Mar  9 07:24:34 2014","Sun Mar  9 07:24:34 2014","","Mercedes McCambridge","Actress, <a href=""http://www.imdb.com/title/tt0070047/"">The Exorcist</a>","1916-03-16"

"189","nm0001378","Sun Mar  9 07:24:45 2014","Sun Mar  9 07:24:45 2014","","Anjelica Huston","Actress, <a href=""http://www.imdb.com/title/tt0265666/"">The Royal Tenenbaums</a>","1951-07-08"

"190","nm0001848","Sun Mar  9 07:24:51 2014","Sun Mar  9 07:24:51 2014","","Dianne Wiest","Actress, <a href=""http://www.imdb.com/title/tt0099487/"">Edward Scissorhands</a>","1948-03-28"

"191","nm0000443","Sun Mar  9 07:24:57 2014","Sun Mar  9 07:24:57 2014","","Goldie Hawn","Actress, <a href=""http://www.imdb.com/title/tt0104070/"">Death Becomes Her</a>","1945-11-21"

"192","nm0001114","Sun Mar  9 07:25:21 2014","Sun Mar  9 07:25:21 2014","","Judy Davis","Actress, <a href=""http://www.imdb.com/title/tt1859650/"">To Rome with Love</a>","1955-04-23"

"193","nm0001012","Sun Mar  9 07:25:28 2014","Sun Mar  9 07:25:28 2014","","Claudia Cardinale","Actress, <a href=""http://www.imdb.com/title/tt0064116/"">C'era una volta il West</a>","1938-04-15"

"194","nm0000569","Sun Mar  9 07:25:42 2014","Sun Mar  9 07:25:42 2014","","Gwyneth Paltrow","Actress, <a href=""http://www.imdb.com/title/tt0114369/"">Se7en</a>","1972-09-27"

"195","nm0000194","Sun Mar  9 07:25:52 2014","Sun Mar  9 07:25:52 2014","","Julianne Moore","Actress, <a href=""http://www.imdb.com/title/tt0118715/"">The Big Lebowski</a>","1960-12-03"

"196","nm0000700","Sun Mar  9 07:26:00 2014","Sun Mar  9 07:26:00 2014","","Debra Winger","Actress, <a href=""http://www.imdb.com/title/tt0086425/"">Terms of Endearment</a>","1955-05-16"

"197","nm0000207","Sun Mar  9 07:26:10 2014","Sun Mar  9 07:26:10 2014","","Christina Ricci","Actress, <a href=""http://www.imdb.com/title/tt0162661/"">Sleepy Hollow</a>","1980-02-12"

"198","nm0000300","Sun Mar  9 07:26:18 2014","Sun Mar  9 07:26:18 2014","","Juliette Binoche","Actress, <a href=""http://www.imdb.com/title/tt0116209/"">The English Patient</a>","1964-03-09"

"199","nm0000435","Sun Mar  9 07:27:17 2014","Sun Mar  9 07:27:17 2014","","Daryl Hannah","Actress, <a href=""http://www.imdb.com/title/tt0266697/"">Kill Bill: Vol. 1</a>","1960-12-03"

"200","nm0000155","Sun Mar  9 07:30:02 2014","Sun Mar  9 07:30:02 2014","","Whoopi Goldberg","Self, <a href=""http://www.imdb.com/title/tt1787660/"">Being Elmo: A Puppeteer's Journey</a>","1955-11-13"

"226","nm0000993","Sun Mar  9 07:39:10 2014","Sun Mar  9 07:39:10 2014","","Carol Burnett","Self, <a href=""http://www.imdb.com/title/tt0302389/"">Carol Burnett: Show Stoppers</a>","1933-04-26"

"227","nm0001788","Sun Mar  9 07:44:00 2014","Sun Mar  9 07:44:00 2014","","Jessica Tandy","Actress, <a href=""http://www.imdb.com/title/tt0097239/"">Driving Miss Daisy</a>","1909-06-07"

"228","nm0000166","Sun Mar  9 07:44:24 2014","Sun Mar  9 07:44:24 2014","","Helen Hunt","Actress, <a href=""http://www.imdb.com/title/tt0119822/"">As Good as It Gets</a>","1963-06-15"

"229","nm0000099","Sun Mar  8 12:09:41 2015","Sun Mar  8 12:09:41 2015","","Patricia Arquette","Actress, <a href=""http://www.imdb.com/title/tt1065073/"">Boyhood</a>","1968-04-08"

"230","nm0000544","Sun Mar  9 07:45:02 2014","Sun Mar  9 07:45:02 2014","","Carmen Miranda","Soundtrack, <a href=""http://www.imdb.com/title/tt0093818/"">Radio Days</a>","1909-02-09"

"231","nm0005028","Sun Mar  9 07:45:11 2014","Sun Mar  9 07:45:11 2014","","Kate Hudson","Actress, <a href=""http://www.imdb.com/title/tt0251127/"">How to Lose a Guy in 10 Days</a>","1979-04-19"

"232","nm0001876","Sun Mar  9 07:45:27 2014","Sun Mar  9 07:45:27 2014","","Catherine Zeta-Jones","Actress, <a href=""http://www.imdb.com/title/tt0299658/"">Chicago</a>","1969-09-25"

"233","nm0000139","Sun Mar  9 07:45:46 2014","Sun Mar  9 07:45:46 2014","","Cameron Diaz","Actress, <a href=""http://www.imdb.com/title/tt0129387/"">There's Something About Mary</a>","1972-08-30"

"234","nm0001666","Sun Mar  9 07:45:54 2014","Sun Mar  9 07:45:54 2014","","Debbie Reynolds","Actress, <a href=""http://www.imdb.com/title/tt0045152/"">Singin' in the Rain</a>","1932-04-01"

"235","nm0000028","Sun Mar  9 07:46:08 2014","Sun Mar  9 07:46:08 2014","","Rita Hayworth","Actress, <a href=""http://www.imdb.com/title/tt0038559/"">Gilda</a>","1918-10-17"

"236","nm0000058","Sun Mar  9 07:46:18 2014","Sun Mar  9 07:46:18 2014","","Maureen O'Hara","Actress, <a href=""http://www.imdb.com/title/tt0039628/"">Miracle on 34th Street</a>","1920-08-17"

"237","nm0001485","Sun Mar  9 07:46:27 2014","Sun Mar  9 07:46:27 2014","","Myrna Loy","Actress, <a href=""http://www.imdb.com/title/tt0036868/"">The Best Years of Our Lives</a>","1905-08-02"

"238","nm0372176","Sun Mar  9 14:58:17 2014","Sun Mar  9 14:58:17 2014","","Lena Headey","Actress, <a href=""http://www.imdb.com/title/tt0416449/"">300</a>","1973-10-03"

"239","nm0001057","Sun Mar  9 15:08:48 2014","Sun Mar  9 15:08:48 2014","","Toni Collette","Actress, <a href=""http://www.imdb.com/title/tt0167404/"">The Sixth Sense</a>","1972-11-01"

"240","nm0001473","Sun Mar  9 15:09:25 2014","Sun Mar  9 15:09:25 2014","","Laura Linney","Actress, <a href=""http://www.imdb.com/title/tt0120382/"">The Truman Show</a>","1964-02-05"

"241","nm0000017","Sun Mar  9 15:08:42 2014","Sun Mar  9 15:08:42 2014","","Marlene Dietrich","Soundtrack, <a href=""http://www.imdb.com/title/tt0051201/"">Witness for the Prosecution</a>","1901-12-27"

"242","nm0001479","Sun Mar  9 15:09:46 2014","Sun Mar  9 15:09:46 2014","","Carole Lombard","Actress, <a href=""http://www.imdb.com/title/tt0035446/"">To Be or Not to Be</a>","1908-10-06"

"243","nm0000795","Sun Mar  9 15:09:54 2014","Sun Mar  9 15:09:54 2014","","Jean Arthur","Actress, <a href=""http://www.imdb.com/title/tt0031679/"">Mr. Smith Goes to Washington</a>","1900-10-17"

"244","nm0001318","Sun Mar  9 15:10:10 2014","Sun Mar  9 15:10:10 2014","","Jean Harlow","Actress, <a href=""http://www.imdb.com/title/tt0022286/"">The Public Enemy</a>","1911-03-03"

"245","nm0001677","Sun Mar  9 15:11:28 2014","Sun Mar  9 15:11:28 2014","","Ginger Rogers","Actress, <a href=""http://www.imdb.com/title/tt0027125/"">Top Hat</a>","1911-07-16"

"246","nm0681933","Sun Mar  9 15:11:47 2014","Sun Mar  9 15:11:47 2014","","Mary Pickford","Actress, <a href=""http://www.imdb.com/title/tt0019788/"">Coquette</a>","1892-04-08"

"247","nm0922213","Sun Mar  9 15:12:37 2014","Sun Mar  9 15:12:37 2014","","Mae West","Soundtrack, <a href=""http://www.imdb.com/title/tt0024166/"">I'm No Angel</a>","1893-08-17"

"248","nm0000096","Sun Mar  9 15:13:20 2014","Sun Mar  9 15:13:20 2014","","Gillian Anderson","Actress, <a href=""http://www.imdb.com/title/tt0120902/"">The X Files</a>","1968-08-09"

"249","nm0914612","Sun Mar  9 15:13:29 2014","Sun Mar  9 15:13:29 2014","","Emma Watson","Actress, <a href=""http://www.imdb.com/title/tt0926084/"">Harry Potter and the Deathly Hallows: Part 1</a>","1990-04-15"

"250","nm0000212","Sun Mar  9 15:13:39 2014","Sun Mar  9 15:13:39 2014","","Meg Ryan","Actress, <a href=""http://www.imdb.com/title/tt0108160/"">Sleepless in Seattle</a>","1961-11-19"

"276","nm1631269","Sun Mar  9 15:43:12 2014","Sun Mar  9 15:43:12 2014","","Chloë Grace Moretz","Actress, <a href=""http://www.imdb.com/title/tt1250777/"">Kick-Ass</a>","1997-02-10"

"277","nm0447695","Sun Mar  9 15:43:19 2014","Sun Mar  9 15:43:19 2014","","Anna Kendrick","Actress, <a href=""http://www.imdb.com/title/tt1981677/"">Pitch Perfect</a>","1985-08-09"

"278","nm0001833","Sun Mar  9 15:46:40 2014","Sun Mar  9 15:46:40 2014","","Emily Watson","Actress, <a href=""http://www.imdb.com/title/tt0121164/"">Corpse Bride</a>","1967-01-14"

"279","nm0000307","Sun Mar  9 15:46:55 2014","Sun Mar  9 15:46:55 2014","","Helena Bonham Carter","Actress, <a href=""http://www.imdb.com/title/tt0137523/"">Fight Club</a>","1966-05-26"

"280","nm0461136","Sun Mar  9 15:47:05 2014","Sun Mar  9 15:47:05 2014","","Keira Knightley","Actress, <a href=""http://www.imdb.com/title/tt2084970/"">The Imitation Game</a>","1985-03-26"

"281","nm0005490","Sun Mar  9 15:47:14 2014","Sun Mar  9 15:47:14 2014","","Alexis Thorpe","Actress, <a href=""http://www.imdb.com/title/tt0756683/"">The Man from Earth</a>","1980-04-19"

"282","nm0203836","Sun Mar  9 15:47:23 2014","Sun Mar  9 15:47:23 2014","","Marion Davies","Actress, <a href=""http://www.imdb.com/title/tt0019379/"">Show People</a>","1897-01-03"

"283","nm0424060","Sun Mar  9 15:47:31 2014","Sun Mar  9 15:47:31 2014","","Scarlett Johansson","Actress, <a href=""http://www.imdb.com/title/tt0335266/"">Lost in Translation</a>","1984-11-22"

